AÑO,MES,CONGLOME,VIVIENDA,HOGAR,UBIGEO,DOMINIO,ESTRATO,CODINFOR,P702,P703,P704,P705,P7061,P7062,P7063,P7064,P7065,P706A1,P706A2,P706A3,P706A4,P706A5,TICUEST01,TIPOCUESTIONARIO,TIPOENTREVISTA,FACTOR07,FACTOR_P,NCONGLOME,SUB_CONGLOME
2020,01,005009,098,11,010101,4,4,02,06,3,1,1,1,0,0,0,0,0,1,0,0,0,2,0,1,149.202744232277,186.594395685829,007076,00
2020,01,005015,007,11,010101,4,4,01,04,3,1,1,1,0,0,0,0,0,1,0,1,0,2,0,1,70.4925910642338,272.545637995675,007089,00
2020,01,005015,007,11,010101,4,4,01,04,4,1,1,1,0,0,0,0,0,0,0,1,0,2,0,1,70.4925910642338,272.545637995675,007089,00
2020,01,005015,085,11,010101,4,4,02,04,3,1,1,1,0,0,0,0,0,1,0,0,0,2,0,1,70.4925910642338,272.545637995675,007089,00
2020,01,005032,014,11,010201,7,4,02,03,3,1,1,0,0,0,1,0, , , , , ,2,0,1,144.83636548425,313.805106113236,006624,00
2020,01,005049,009,11,010701,7,4,02,05,3,1,1,0,1,1,0,0, , , , , ,2,0,1,314.66997954332,836.272895724665,006719,00
2020,01,005049,019,11,010701,7,4,01,06,1,7,4,1,0,0,0,0,0,0,0,1,0,2,0,1,314.66997954332,836.272895724665,006719,00
2020,01,005049,024,11,010701,7,4,01,03,3,1,1,0,1,1,0,0, , , , , ,2,0,1,314.66997954332,836.272895724665,006719,00
2020,01,005049,035,11,010701,7,4,01,03,1,7,4,1,0,0,0,0,0,0,1,0,0,2,0,1,314.66997954332,836.272895724665,006719,00
2020,01,005062,019,11,010502,4,5,01,04,3,1,1,1,0,0,0,0,0,1,0,1,0,2,0,1,202.730718199665,253.536996724754,006942,00
2020,01,005062,034,11,010502,4,5,01,03,3,1,1,0,1,1,0,0, , , , , ,2,0,1,202.730718199665,253.536996724754,006942,00
2020,01,005062,034,11,010502,4,5,01,04,3,1,1,0,1,1,0,0, , , , , ,2,0,1,202.730718199665,253.536996724754,006942,00
2020,01,005062,067,11,010502,4,5,02,03,1,6,4,0,0,0,1,0, , , , , ,2,0,1,202.730718199665,253.536996724754,006942,00
2020,01,005062,067,11,010502,4,5,02,03,6,4,4,0,0,0,1,0, , , , , ,2,0,1,202.730718199665,253.536996724754,006942,00
2020,01,005062,078,11,010502,4,5,01,02,3,1,1,0,0,0,1,0, , , , , ,2,0,1,202.730718199665,253.536996724754,006942,00
2020,01,005062,078,11,010502,4,5,01,03,3,1,1,0,0,0,1,0, , , , , ,2,0,1,202.730718199665,253.536996724754,006942,00
2020,01,005062,093,11,010502,4,5,01,01,2,3,4,0,1,1,0,0, , , , , ,2,0,1,202.730718199665,253.536996724754,006942,00
2020,01,005063,050,11,010501,4,5,02,04,3,1,1,1,0,0,0,0,0,1,0,0,0,2,0,1,133.478153817609,166.929068321478,006973,00
2020,01,005063,050,11,010501,4,5,02,05,1,6,4,0,0,0,1,0, , , , , ,2,0,1,133.478153817609,166.929068321478,006973,00
2020,01,005063,088,11,010501,4,5,01,04,3,1,1,0,1,1,0,0, , , , , ,2,0,1,133.478153817609,166.929068321478,006973,00
2020,01,005091,050,11,010203,7,6,01,03,3,1,1,1,0,0,0,0,0,1,0,0,0,2,0,1,91.4589854914527,266.628869192945,006583,00
2020,01,005091,075,11,010203,7,6,02,05,1,7,4,1,0,0,0,0,0,0,1,0,0,2,0,1,91.4589854914527,266.628869192945,006583,00
2020,01,005091,075,11,010203,7,6,02,05,3,1,1,1,0,0,0,0,0,1,0,0,0,2,0,1,91.4589854914527,266.628869192945,006583,00
2020,01,005091,090,11,010203,7,6,02,01,2,3,1,0,0,0,1,0, , , , , ,2,0,1,91.4589854914527,266.628869192945,006583,00
2020,01,005091,090,11,010203,7,6,02,02,2,3,1,0,1,0,0,0, , , , , ,2,0,1,91.4589854914527,266.628869192945,006583,00
2020,01,005091,090,11,010203,7,6,02,03,2,3,1,0,0,0,1,0, , , , , ,2,0,1,91.4589854914527,266.628869192945,006583,00
2020,01,005091,090,11,010203,7,6,02,04,2,3,1,0,0,0,1,0, , , , , ,2,0,1,91.4589854914527,266.628869192945,006583,00
2020,01,005091,090,11,010203,7,6,02,05,2,3,1,0,0,0,1,0, , , , , ,2,0,1,91.4589854914527,266.628869192945,006583,00
2020,01,005091,090,11,010203,7,6,02,05,3,1,1,1,0,0,0,0,0,1,0,0,0,2,0,1,91.4589854914527,266.628869192945,006583,00
2020,01,005091,129,11,010203,7,6,01,03,3,1,1,1,0,0,0,0,0,1,0,0,0,2,0,1,91.4589854914527,266.628869192945,006583,00
2020,01,005124,010,11,010306,4,7,01,03,3,1,1,1,0,0,0,0,0,1,0,1,0,2,0,1,68.08347059678,109.238356466799,006902,00
2020,01,005124,010,11,010306,4,7,01,05,3,1,1,0,1,1,0,0, , , , , ,2,0,1,68.08347059678,109.238356466799,006902,00
2020,01,005124,013,11,010306,4,7,02,03,3,1,1,0,1,1,0,0, , , , , ,2,0,1,68.08347059678,109.238356466799,006902,00
2020,01,005124,013,11,010306,4,7,02,04,3,1,1,0,1,1,0,0, , , , , ,2,0,1,68.08347059678,109.238356466799,006902,00
2020,01,005124,013,11,010306,4,7,02,05,1,6,4,1,0,0,0,0,0,0,1,0,0,2,0,1,68.08347059678,109.238356466799,006902,00
2020,01,005124,101,11,010306,4,7,02,07,3,1,1,1,0,0,0,0,0,1,0,1,0,2,0,1,68.08347059678,109.238356466799,006902,00
2020,01,005124,104,11,010306,4,7,02,04,3,1,1,1,0,0,0,0,0,1,0,1,0,2,0,1,68.08347059678,109.238356466799,006902,00
2020,01,005127,036,11,010304,4,7,02,05,3,1,1,0,1,1,0,0, , , , , ,2,0,1,68.08347059678,109.238356466799,006917,00
2020,01,005127,036,11,010304,4,7,02,05,4,1,1,0,1,1,0,0, , , , , ,2,0,1,68.08347059678,109.238356466799,006917,00
2020,01,005127,037,11,010304,4,7,02,02,2,3,4,0,1,1,0,0, , , , , ,2,0,1,68.08347059678,109.238356466799,006917,00
2020,01,005127,037,11,010304,4,7,02,03,2,3,4,0,0,0,1,0, , , , , ,2,0,1,68.08347059678,109.238356466799,006917,00
2020,01,005127,037,11,010304,4,7,02,04,2,3,4,0,0,0,1,0, , , , , ,2,0,1,68.08347059678,109.238356466799,006917,00
2020,01,005127,037,11,010304,4,7,02,04,3,1,1,0,1,1,0,0, , , , , ,2,0,1,68.08347059678,109.238356466799,006917,00
2020,01,005127,037,11,010304,4,7,02,04,4,1,1,0,1,1,0,0, , , , , ,2,0,1,68.08347059678,109.238356466799,006917,00
2020,01,005127,037,11,010304,4,7,02,05,3,1,1,0,1,1,0,0, , , , , ,2,0,1,68.08347059678,109.238356466799,006917,00
2020,01,005127,037,11,010304,4,7,02,05,4,1,1,0,1,1,0,0, , , , , ,2,0,1,68.08347059678,109.238356466799,006917,00
2020,01,005127,037,11,010304,4,7,02,06,1,6,4,0,0,0,1,0, , , , , ,2,0,1,68.08347059678,109.238356466799,006917,00
2020,01,005127,079,11,010304,4,7,02,05,3,1,1,0,1,1,0,0, , , , , ,2,0,1,68.08347059678,109.238356466799,006917,00
2020,01,005127,079,11,010304,4,7,02,05,4,1,1,0,1,1,0,0, , , , , ,2,0,1,68.08347059678,109.238356466799,006917,00
2020,01,005127,079,11,010304,4,7,02,06,3,1,1,0,1,1,0,0, , , , , ,2,0,1,68.08347059678,109.238356466799,006917,00
2020,01,005127,079,11,010304,4,7,02,06,4,1,1,0,1,1,0,0, , , , , ,2,0,1,68.08347059678,109.238356466799,006917,00
2020,01,005127,080,11,010304,4,7,02,03,3,1,1,0,1,1,0,0, , , , , ,2,0,1,68.08347059678,109.238356466799,006917,00
2020,01,005127,080,11,010304,4,7,02,03,4,1,1,0,1,1,0,0, , , , , ,2,0,1,68.08347059678,109.238356466799,006917,00
2020,01,005127,080,11,010304,4,7,02,04,1,6,4,0,0,0,1,0, , , , , ,2,0,1,68.08347059678,109.238356466799,006917,00
2020,01,005127,080,11,010304,4,7,02,04,3,1,1,0,1,1,0,0, , , , , ,2,0,1,68.08347059678,109.238356466799,006917,00
2020,01,005127,080,11,010304,4,7,02,04,4,1,1,0,1,1,0,0, , , , , ,2,0,1,68.08347059678,109.238356466799,006917,00
2020,01,005127,080,11,010304,4,7,02,05,1,6,4,0,0,0,1,0, , , , , ,2,0,1,68.08347059678,109.238356466799,006917,00
2020,01,005127,080,11,010304,4,7,02,05,6,4,4,0,0,0,1,0, , , , , ,2,0,1,68.08347059678,109.238356466799,006917,00
2020,01,005127,091,11,010304,4,7,02,04,1,6,4,0,0,0,1,0, , , , , ,2,0,1,68.08347059678,109.238356466799,006917,00
2020,01,005127,096,11,010304,4,7,02,03,3,1,1,0,1,1,0,0, , , , , ,2,0,1,68.08347059678,109.238356466799,006917,00
2020,01,005127,096,11,010304,4,7,02,03,4,1,1,0,1,1,0,0, , , , , ,2,0,1,68.08347059678,109.238356466799,006917,00
2020,01,005134,001,11,010520,4,7,02,04,3,1,1,0,1,1,0,0, , , , , ,2,0,1,68.08347059678,109.238356466799,006967,00
2020,01,005134,001,11,010520,4,7,02,04,4,1,1,0,1,1,0,0, , , , , ,2,0,1,68.08347059678,109.238356466799,006967,00
2020,01,005134,001,11,010520,4,7,02,05,3,1,1,0,1,1,0,0, , , , , ,2,0,1,68.08347059678,109.238356466799,006967,00
2020,01,005134,001,11,010520,4,7,02,05,4,1,1,0,1,1,0,0, , , , , ,2,0,1,68.08347059678,109.238356466799,006967,00
2020,01,005134,002,11,010520,4,7,01,03,3,1,1,0,1,1,0,0, , , , , ,2,0,1,68.08347059678,109.238356466799,006967,00
2020,01,005134,002,11,010520,4,7,01,03,4,1,1,0,1,1,0,0, , , , , ,2,0,1,68.08347059678,109.238356466799,006967,00
2020,01,005134,003,11,010520,4,7,02,04,1,7,4,0,0,0,1,0, , , , , ,2,0,1,68.08347059678,109.238356466799,006967,00
2020,01,005134,128,11,010520,4,7,02,04,3,1,1,0,1,1,0,0, , , , , ,2,0,1,68.08347059678,109.238356466799,006967,00
2020,01,005134,128,11,010520,4,7,02,04,4,1,1,0,1,1,0,0, , , , , ,2,0,1,68.08347059678,109.238356466799,006967,00
2020,01,005134,134,11,010520,4,7,01,03,3,1,1,1,1,1,0,0,0,0,0,1,0,2,0,1,68.08347059678,109.238356466799,006967,00
2020,01,005134,134,11,010520,4,7,01,03,4,1,1,1,1,1,0,0,0,0,0,1,0,2,0,1,68.08347059678,109.238356466799,006967,00
2020,01,005134,137,11,010520,4,7,02,06,3,1,1,1,1,1,0,0,0,0,0,1,0,2,0,1,68.08347059678,109.238356466799,006967,00
2020,01,005134,137,11,010520,4,7,02,06,4,1,1,1,1,1,0,0,0,0,0,1,0,2,0,1,68.08347059678,109.238356466799,006967,00
2020,01,005137,009,11,010513,4,8,02,04,3,1,1,0,1,1,0,0, , , , , ,2,0,1,68.08347059678,109.238356466799,006998,00
2020,01,005137,012,11,010513,4,8,02,04,3,1,1,0,1,1,0,0, , , , , ,2,0,1,68.08347059678,109.238356466799,006998,00
2020,01,005137,012,11,010513,4,8,02,05,1,7,6,0,0,0,1,0, , , , , ,2,0,1,68.08347059678,109.238356466799,006998,00
2020,01,005137,012,11,010513,4,8,02,05,3,1,1,0,1,1,0,0, , , , , ,2,0,1,68.08347059678,109.238356466799,006998,00
2020,01,005137,054,11,010513,4,8,02,04,3,1,1,0,1,1,0,0, , , , , ,2,0,1,68.08347059678,109.238356466799,006998,00
2020,01,005137,056,11,010513,4,8,02,04,3,1,1,0,1,1,0,0, , , , , ,2,0,1,68.08347059678,109.238356466799,006998,00
2020,01,005137,058,11,010513,4,8,02,04,3,1,1,0,1,1,0,0, , , , , ,2,0,1,68.08347059678,109.238356466799,006998,00
2020,01,005137,058,11,010513,4,8,02,05,3,1,1,0,1,1,0,0, , , , , ,2,0,1,68.08347059678,109.238356466799,006998,00
2020,01,005138,025,11,010513,4,7,01,03,3,1,1,1,0,0,0,0,0,1,0,1,0,2,0,1,68.08347059678,109.238356466799,007002,00
2020,01,005138,028,11,010513,4,7,02,05,3,1,1,1,0,0,0,0,0,1,0,0,0,2,0,1,68.08347059678,109.238356466799,007002,00
2020,01,005138,028,11,010513,4,7,02,07,1,7,4,0,0,0,1,0, , , , , ,2,0,1,68.08347059678,109.238356466799,007002,00
2020,01,005138,111,11,010513,4,7,01,04,3,1,1,1,1,1,0,0,0,0,0,1,0,2,0,1,68.08347059678,109.238356466799,007002,00
2020,01,005138,111,11,010513,4,7,01,05,3,1,1,1,1,1,0,0,0,0,0,1,0,2,0,1,68.08347059678,109.238356466799,007002,00
2020,01,005138,118,11,010513,4,7,02,03,3,1,1,1,1,1,0,0,0,0,0,1,0,2,0,1,68.08347059678,109.238356466799,007002,00
2020,01,005138,120,11,010513,4,7,01,05,3,1,1,1,1,1,0,0,0,0,0,1,0,2,0,1,68.08347059678,109.238356466799,007002,00
2020,01,005138,120,11,010513,4,7,01,06,3,1,1,1,1,1,0,0,0,0,0,1,0,2,0,1,68.08347059678,109.238356466799,007002,00
2020,01,005138,120,11,010513,4,7,01,07,3,1,1,1,1,1,0,0,0,0,0,1,0,2,0,1,68.08347059678,109.238356466799,007002,00
2020,01,005149,024,11,010114,4,7,02,05,3,1,1,0,1,1,0,0, , , , , ,2,0,1,68.08347059678,109.238356466799,007122,00
2020,01,005149,024,11,010114,4,7,02,05,4,1,1,0,1,1,0,0, , , , , ,2,0,1,68.08347059678,109.238356466799,007122,00
2020,01,005149,024,11,010114,4,7,02,06,1,2,4,0,0,0,1,0, , , , , ,2,0,1,68.08347059678,109.238356466799,007122,00
